name,gradyear
Yagiz Aksoy,
Alaa Alameldeen,1996
Sheelagh Carpendale,1992
Bobby Chan,2005
Angel Chang,
Mo Chen,2011
Wuyang Chen,2023
Victor Cheung,2004
Parmit Chilana,2005
Diana Cukierman,1989
Ryan C.N. D'Arcy,
Toby Donaldson,1992
Saba Alimadadi,2017
Edgar John,1984
Martin Ester,1984
Eugene Fiume,1981
Brian Fraser,2002
Yasutaka Furukawa,2001
Uwe Glässer,1987
Qianping Gu,1982
Ghassan Hamarneh,1995
Mohamed Hefeeda,1994
Valentine Kabanets,1993
Matt Amy,2011
Harinder Singh Khangura,1997
Lawrence Kim,2013
Steven Ko,1999
Anne Lavergne,1991
Ke Li,2014
Linyi Li,2018
Maxwell Libbrecht,2011
Angelica Lim,2008
Jiangchuan (JC) Liu,1999
Felix Lo,1996
Ouldooz Baghban Karimi,
Hang Ma,2012
Ali Mahdavi-Amiri,
Miao Zhengjie,2015
Anders Miltner,2013
David G. Mitchell,1989
Steven Pearce,1981
Jason Peng,2021
Fred Popowich,1982
Janice Regan,1979
Anoop Sarkar,1991
Greg Baker,1998
Manolis Savva,2009
Oliver Schulte,1992
Igor Shinkar,2005
Arrvindh Shriraman,2004
William N. Sumner,2005
Andrea Tagliasacchi,2005
Eugenia Ternovska,2002
Sharan Vaswani,2012
Nicholas Vincent,2016
Keval Vora,2017
Brad Bart,1996
Jiannan Wang,2008
Ke Wang,1984
Tao Wang,2015
Tianzheng Wang,2017
Yuepeng Wang,2014
Kay C. Wiese,2001
Jianliang Wu,2012
Cynthia Xie,
Xing-Dong Yang,
Kangkang Yin,1997
Steven Bergner,2003
Richard (Hao) Zhang,1995
Stella Atkins,1966
Binay Bhattacharya,1982
Warren Burton,1972
Veronica Dahl,1975
"Delgrande, James",1977
Mark Drew,1970
"Funt, Brian",1971
Robert Hadley,1967
William S. Havens,1978
Andrei Bulatov,1991
"Hell, Pavol",1968
Jian Pei,1991
Thomas C. Shermer,1989
Tsunehiko (Tiko) Kameda,
"Krishnamurti, Ramesh",1974
"Li, Ze-Nian",1970
Arthur L. Liestman,1975
Wo-Shun Luk,1971
"Peters, Joseph",1974
James J. Weinkam,1970
Robert Cameron,1977
Thomas W. Calvert,1957
Saeid Asgari,
Daniel Cohen-Or,
Shervin Shirmohammadi,
PING TAN,2000
Richard T. Vaughan,1993
Greg Mori,1999
